stockid,stocklong,year,tb,ssb,r,tc,f,er,b_bmsy,ssb_ssbmsy,f_fmsy,er_ermsy,u_umsy,b_bmgt,u_umgt
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1973,40900.00,21000.00,15000000.00,14500.00,0.64,0.30,10.72,10.72,1.82,2.51,2.51,10.72,2.51
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1974,25000.00,9260.00,42500000.00,17100.00,1.51,0.79,4.72,4.72,4.33,6.69,6.69,4.72,6.69
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1975,14800.00,3180.00,18300000.00,5730.00,1.17,0.77,1.62,1.62,3.36,6.53,6.53,1.62,6.53
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1976,12400.00,3900.00,66700000.00,3440.00,0.52,0.38,1.99,1.99,1.48,3.19,3.19,1.99,3.19
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1977,20500.00,4180.00,68900000.00,5220.00,0.81,0.54,2.13,2.13,2.31,4.52,4.52,2.13,4.52
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1978,28500.00,5490.00,53100000.00,8090.00,1.42,0.63,2.80,2.80,4.07,5.33,5.33,2.80,5.33
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1979,26700.00,7570.00,65400000.00,9880.00,1.30,0.56,3.86,3.86,3.71,4.73,4.73,3.86,4.73
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1980,28800.00,8450.00,176000000.00,8020.00,0.94,0.41,4.31,4.31,2.70,3.44,3.44,4.31,3.44
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1981,37000.00,9850.00,84300000.00,6610.00,0.68,0.29,5.03,5.03,1.96,2.43,2.43,5.03,2.43
YELLSNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,1982,52100.00,17100.00,19500000.00,15800.00,0.93,0.39,8.75,8.75,2.66,3.33,3.33,8.75,3.33
